



ID	Ima	Campo (T.m)	Corrente  rms
5311	Q20-159	-9.0970	157.5582
5337	Q20-161	-9.0901	157.5582
5363	Q20-165	-9.0911	157.5579
5392	Q20-164	-9.0914	157.5576
5419	Q20-130	-9.0806	157.3576
5447	Q20-141	-9.0961	157.4367
5474	Q20-138	-9.0917	157.5575
5514	Q20-134	-9.0908	157.5188
5529	Q20-129	-9.0895	157.4378
5555	Q20-132	-9.0894	157.4362
5582	Q20-122	-9.0884	157.5574
5609	Q20-127	-9.0805	157.3572
5636	Q20-069	-9.0793	157.4364
5664	Q20-070	-9.0827	157.3568
5691	Q20-071	-9.0865	157.4368
5719	Q20-072	-9.0796	157.3580
5745	Q20-081	-9.0813	157.4374
5772	Q20-082	-9.0811	157.4376
5799	Q20-080	-9.0793	157.4374
5826	Q20-084	-9.0794	157.5579
5854	Q20-110	-9.0975	157.5577
5881	Q20-097	-9.0871	157.5177
5907	Q20-102	-9.0858	157.4370
5933	Q20-112	-9.0858	157.3572
5960	Q20-076	-9.0824	157.4370
5988	Q20-073	-9.0827	157.4372
6014	Q20-074	-9.0814	157.4376
6040	Q20-061	-9.0877	157.4371
6067	Q20-121	-9.0901	157.4369
6095	Q20-131	-9.0865	157.4372
6122	Q20-133	-9.0910	157.4376
6149	Q20-125	-9.0840	157.3574
6175	Q20-158	-9.0893	157.5572
6250	Q20-143	-9.0833	157.5591
6279	Q20-155	-9.0818	157.4386
6306	Q20-160	-9.0826	157.5591
6334	Q20-154	-9.0884	157.5590
6364	Q20-157	-9.0819	157.5589
6390	Q20-156	-9.0848	157.5592
6416	Q20-153	-9.0883	157.3591
6442	Q20-054	-9.0744	157.5591
6470	Q20-055	-9.0692	157.4380
6497	Q20-058	-9.0696	157.3584
6523	Q20-060	-9.0737	157.3590
6550	Q20-119	-9.0875	157.3586
6576	Q20-117	-9.0896	157.5580
6605	Q20-114	-9.1026	157.5579
6631	Q20-116	-9.0690	157.3581
6658	Q20-057	-9.0697	157.4392
6685	Q20-051	-9.0655	157.4385
6712	Q20-056	-9.0783	157.3594
6738	Q20-052	-9.0743	157.5586
6765	Q20-065	-9.0798	157.4379
6792	Q20-062	-9.0774	157.3586
6820	Q20-059	-9.0770	157.3578
6846	Q20-063	-9.0804	157.4379
6872	Q20-169	-9.0766	157.4375
6898	Q20-163	-9.0845	157.5588
6926	Q20-168	-9.0761	157.4374
6952	Q20-166	-9.0835	157.5578
6978	Q20-095	-9.0776	157.3582
7005	Q20-088	-9.0708	157.4374
7032	Q20-092	-9.0858	157.4376
7060	Q20-087	-9.0858	157.4378
7086	Q20-077	-9.0763	157.4378
7113	Q20-075	-9.0826	157.3574
7145	Q20-078	-9.0774	157.4377
7172	Q20-079	-9.0774	157.3572
7199	Q20-089	-9.0845	157.5575
7226	Q20-096	-9.0890	157.5173
7252	Q20-103	-9.0856	157.5178
7279	Q20-105	-9.0899	157.5620
7306	Q20-177	-9.0809	157.4401
7333	Q20-173	-9.0734	157.4400
7359	Q20-179	-9.0894	157.4400
7385	Q20-178	-9.0898	157.5597
7412	Q20-150	-9.0889	157.5595
7438	Q20-146	-9.0891	157.4388
7464	Q20-152	-9.0849	157.4388
7495	Q20-137	-9.0835	157.4387
7521	Q20-136	-9.0802	157.3586
7547	Q20-135	-9.0880	157.5192
7575	Q20-123	-9.0731	157.4378
7601	Q20-175	-9.0836	157.4378
7628	Q20-167	-9.0930	157.5584
7655	Q20-171	-9.0844	157.5582
7681	Q20-162	-9.0770	157.3591
7709	Q20-049	-9.0791	157.4377
7736	Q20-048	-9.0778	157.4379
7763	Q20-053	-9.0766	157.4410
7790	Q20-050	-9.0831	157.3606
7819	Q20-098	-9.0831	157.4404
7846	Q20-100	-9.0848	157.5593
7874	Q20-099	-9.1905	157.5574
7901	Q20-090	-9.0851	157.4374
7927	Q20-118	-9.0861	157.4370
7953	Q20-115	-9.0832	157.4372
7979	Q20-113	-9.0874	157.3579
8006	Q20-108	-9.0921	157.3574
8033	Q20-101	-9.0895	157.5173
8060	Q20-094	-9.0850	157.4363
8087	Q20-066	-9.0865	157.4365
8113	Q20-107	-9.0832	157.3572
8139	Q20-124	-9.0905	157.5568
8166	Q20-126	-9.0921	157.5564
8192	Q20-120	-9.0868	157.4360
8220	Q20-128	-9.0920	157.5566
8251	Q20-172	-9.0792	157.4342
8284	Q20-170	-9.0868	157.5548
8310	Q20-176	-9.0721	157.3559
8336	Q20-174	-9.0830	157.4355
8362	Q20-093	-9.0847	157.5561
8388	Q20-091	-9.0805	157.4357
8415	Q20-085	-9.0769	157.5558
8442	Q20-083	-9.0788	157.4361
8470	Q20-144	-9.0839	157.5555
8497	Q20-145	-9.0864	157.4358
8524	Q20-140	-9.0798	157.3593
8551	Q20-142	-9.0834	157.3586
8577	Q20-139	-9.0909	157.3588
8603	Q20-148	-9.0899	157.5189
8630	Q20-147	-9.0870	157.4384
8656	Q20-149	-9.0877	157.3591
8684	Q20-067	-9.0956	157.3582
8711	Q20-086	-9.0863	157.4383
8739	Q20-064	-9.0844	157.3578
8765	Q20-068	-9.0844	157.4380
8793	Q20-109	-9.0967	157.3612
8822	Q20-111	-9.0931	157.3605
8848	Q20-104	-9.0871	157.5210
8876	Q20-106	-9.0835	157.4396
8931	Q20-007	-9.1105	157.4387
8960	Q20-008	-9.1118	157.5202
8988	Q20-006	-9.1072	157.5590
9018	Q20-004	-9.0956	157.5187
9045	Q20-025	-9.0968	157.5181
9074	Q20-028	-9.0963	157.4386
9101	Q20-024	-9.0969	157.5194
9128	Q20-026	-9.0936	157.4383
9154	Q20-009	-9.1008	157.4382
9180	Q20-005	-9.1067	157.4380
9208	Q20-012	-9.1080	157.4381
9235	Q20-011	-9.0973	157.4380
9294	Q20-017	-9.1035	157.5185
9325	Q20-020	-9.1076	157.5173
9351	Q20-022	-9.0878	157.4372
9378	Q20-023	-9.0954	157.4380
9405	Q20-039	-9.1002	157.4372
9432	Q20-038	-9.1097	157.4374
9458	Q20-037	-9.1029	157.3579
9484	Q20-034	-9.0858	157.4378
9511	Q20-040	-9.1061	157.3575
9538	Q20-044	-9.0909	157.4377
9565	Q20-010	-9.1024	157.4372
9596	Q20-014	-9.1032	157.4374
9623	Q20-015	-9.0994	157.4377
9649	Q20-013	-9.1040	157.4373
9676	Q20-043	-9.0727	157.3576
9703	Q20-047	-9.0701	157.3573
9730	Q20-018	-9.0981	157.5582
9758	Q20-021	-9.0963	157.4404
9785	Q20-016	-9.0997	157.4399
9813	Q20-019	-9.0944	157.5199
9839	Q20-032	-9.1103	157.3599
9866	Q20-031	-9.0969	157.5597
9892	Q20-027	-9.1015	157.4394
9918	Q20-029	-9.0969	157.3592
9944	Q20-046	-9.0801	157.3592
9970	Q20-041	-9.0982	157.4384
9997	Q20-042	-9.0944	157.5588
10024	Q20-045	-9.0861	157.4380
10051	Q20-033	-9.0949	157.4380
10077	Q20-036	-9.1107	157.4383
10103	Q20-035	-9.1002	157.4381
10129	Q20-030	-9.1072	157.3590
