Ima	Campo_(T.m)	Corrente_rms	Media	Norm
Q30-034	-13.6328	154.9952	154.9969061	-13.63293006
Q30-031	-13.6404	154.9974	154.9969061	-13.64033653
Q30-032	-13.6401	154.9968	154.9969061	-13.64006933
Q30-006	-13.6435	154.9941	154.9969061	-13.64374701
Q30-007	-13.6271	154.9972	154.9969061	-13.62708416
Q30-004	-13.6230	154.9970	154.9969061	-13.62297174
Q30-009	-13.6355	154.9966	154.9969061	-13.63555693
Q30-010	-13.6295	154.9955	154.9969061	-13.62963364
Q30-011	-13.6375	154.9942	154.9969061	-13.63769810
Q30-021	-13.6358	154.9959	154.9969061	-13.63592851
Q30-020	-13.6377	154.9966	154.9969061	-13.63770693
Q30-019	-13.6369	154.9971	154.9969061	-13.63690294
Q30-015	-13.6296	154.9968	154.9969061	-13.62964933
Q30-012	-13.6230	154.9965	154.9969061	-13.62299569
Q30-016	-13.6389	154.9963	154.9969061	-13.63896333
Q30-035	-13.6381	154.9966	154.9969061	-13.63808693
Q30-033	-13.6346	154.9964	154.9969061	-13.63461452
Q30-018	-13.6954	154.9967	154.9969061	-13.69536821
Q30-036	-13.6430	154.9969	154.9969061	-13.64299053
Q30-005	-13.6477	154.9966	154.9969061	-13.64776695
Q30-017	-13.6263	154.9989	154.9969061	-13.62612471
Q30-026	-13.6279	154.9988	154.9969061	-13.62771348
Q30-030	-13.6469	154.9982	154.9969061	-13.64676607
Q30-013	-13.6403	154.9976	154.9969061	-13.64024893
Q30-014	-13.6349	154.9981	154.9969061	-13.63475497
Q30-008	-13.6422	154.9981	154.9969061	-13.64205492
Q30-029	-13.6377	154.9983	154.9969061	-13.63752735
Q30-025	-13.6450	154.9972	154.9969061	-13.64501412
Q30-027	-13.6313	154.9974	154.9969061	-13.63124656
Q30-024	-13.6403	154.9973	154.9969061	-13.64027533
Q30-028	-13.6169	154.9972	154.9969061	-13.61691418
Q30-023	-13.6344	154.9973	154.9969061	-13.63440535
Q30-022	-13.6396	154.9971	154.9969061	-13.63961293

