ID	Ima	Campo (T.m)	Corrente  rms	Campo Normalizado	Media Normalizada	Desvio Padrao Minimo	Desvio Padrao Maximo	Media Normalizada	Desvio Padrao Minimo	Desvio Padrao Maximo
11297	S15-063	-359.4043	167.7968	-359.4015	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11339	S15-064	-359.7001	167.7964	-359.6965	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11368	S15-065	-359.2613	167.7979	-359.2609	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11397	S15-053	-359.2873	167.7969	-359.2847	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11425	S15-041	-360.6706	167.7970	-360.6682	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11455	S15-045	-360.4678	167.7966	-360.4646	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11483	S15-048	-359.6102	167.7974	-359.6087	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11514	S15-055	-360.3762	167.7960	-360.3717	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11542	S15-038	-360.3769	167.7968	-360.3741	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11570	S15-067	-359.2166	167.7997	-359.2200	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11599	S15-054	-359.5693	167.7981	-359.5693	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11627	S15-068	-359.5049	167.7976	-359.5038	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11655	S15-062	-359.6890	167.7986	-359.6901	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11683	S15-060	-358.8071	167.7995	-358.8101	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11712	S15-061	-359.1480	167.7991	-359.1501	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11740	S15-049	-359.4358	167.7989	-359.4375	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11768	S15-143	-360.3636	167.7990	-360.3655	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11796	S15-121	-359.6315	167.7988	-359.6330	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11825	S15-146	-360.1248	167.7983	-360.1252	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11839	S15-145	-360.6304	167.7990	-360.6323	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11898	S15-169	-359.5116	167.7976	-359.5105	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11916	S15-168	-359.7598	167.7984	-359.7604	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11944	S15-161	-359.6458	167.7971	-359.6437	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
11972	S15-139	-360.0648	167.7978	-360.0642	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12000	S15-174	-359.9486	167.7978	-359.9480	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12028	S15-173	-359.6154	167.7979	-359.6150	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12056	S15-172	-359.8843	167.7976	-359.8832	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12084	S15-167	-359.8187	167.7982	-359.8189	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12113	S15-123	-359.8623	167.7983	-359.8627	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12271	S15-132	-359.9140	167.7982	-359.9142	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12299	S15-112	-359.8187	167.7975	-359.8174	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12328	S15-127	-359.5610	167.7975	-359.5597	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12371	S15-133	-359.8947	167.7984	-359.8953	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12386	S15-123	-359.8227	167.7978	-359.8221	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12414	S15-128	-359.7745	167.7977	-359.7736	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12442	S15-126	-359.8622	167.7978	-359.8616	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12470	S15-124	-359.8702	167.7978	-359.8696	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12499	S15-269	-359.7504	167.7977	-359.7495	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12555	S15-263	-360.1069	167.8002	-360.1114	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12583	S15-261	-359.8664	167.7993	-359.8690	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12612	S15-266	-359.5996	167.7980	-359.5994	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12640	S15-113	-359.6506	167.7985	-359.6515	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12668	S15-152	-359.2745	167.7983	-359.2749	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12697	S15-151	-359.0720	167.7985	-359.0729	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12725	S15-147	-359.6112	167.7988	-359.6127	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12868	S15-189	-359.8815	167.7989	-359.8832	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12896	S15-191	-359.7914	167.7996	-359.7946	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12925	S15-190	-359.7178	167.7991	-359.7199	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12956	S15-193	-359.6968	167.7976	-359.6957	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
12985	S15-232	-359.8467	167.7985	-359.8476	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13013	S15-259	-359.6656	167.7989	-359.6673	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13042	S15-267	-359.5447	167.7993	-359.5473	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13071	S15-238	-360.0779	167.7994	-360.0807	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13100	S15-242	-359.6896	167.7987	-359.6909	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13128	S15-252	-359.5982	167.7991	-359.6003	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13156	S15-230	-359.9369	167.7987	-359.9382	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13184	S15-229	-359.9379	167.7990	-359.9398	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13213	S15-042	-360.4630	167.7983	-360.4634	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13242	S15-051	-359.0050	167.7980	-359.0048	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13270	S15-047	-359.5025	167.7978	-359.5019	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13300	S15-046	-359.1964	167.7976	-359.1953	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13330	S15-077	-359.2402	167.7981	-359.2402	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13360	S15-080	-359.0642	167.7987	-359.0655	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13389	S15-081	-359.2512	167.7982	-359.2514	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13417	S15-082	-359.2863	167.7983	-359.2867	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13445	S15-280	-359.6829	167.7982	-359.6831	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13473	S15-258	-359.6639	167.7968	-359.6611	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13501	S15-250	-359.5252	167.7979	-359.5248	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13529	S15-278	-360.0473	167.7980	-360.0471	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13557	S15-253	-359.6474	167.7976	-359.6463	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13585	S15-268	-359.4038	167.7976	-359.4027	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13613	S15-237	-359.4816	167.7976	-359.4805	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13641	S15-264	-359.8000	167.7974	-359.7985	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13683	S15-105	-359.7728	167.7990	-359.7747	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13698	S15-103	-360.0186	167.7989	-360.0203	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13727	S15-119	-359.6274	167.7977	-359.6265	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13755	S15-106	-360.0052	167.7978	-360.0046	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
13786	S15-247	-359.4215	167.7978	-359.4209	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
