Campo(T.m)	Ang(rad)	X(um)	Y(um)	Temp(C)
-360.68181	7.61E-05	6.998	28.140	23.125
-360.68256	7.49E-05	6.985	28.102	23.135
-360.68416	7.22E-05	6.984	28.084	23.136
-360.68445	7.25E-05	6.991	28.079	23.160
-360.68491	7.23E-05	6.992	28.066	23.178
-360.68630	7.21E-05	7.004	28.059	23.184
-360.68621	7.26E-05	7.002	28.055	23.203
-360.68698	7.18E-05	7.003	28.039	23.214
-360.68778	7.20E-05	6.999	28.036	23.221
-360.68821	7.13E-05	7.000	28.019	23.238
-360.68835	7.14E-05	7.004	28.011	23.249
-360.68875	7.18E-05	7.009	28.002	23.251
-360.68933	7.17E-05	7.018	27.982	23.266
-360.68921	7.20E-05	7.016	27.974	23.274
-360.68983	7.10E-05	7.013	27.956	23.284
-360.68999	7.14E-05	7.020	27.949	23.293
-360.69081	7.14E-05	7.028	27.936	23.304
-360.69050	7.08E-05	7.024	27.938	23.315
-360.69091	7.15E-05	7.034	27.927	23.322
-360.69100	7.12E-05	7.034	27.896	23.328
-360.69124	7.12E-05	7.042	27.882	23.330
-360.69115	7.10E-05	7.040	27.877	23.343
-360.69109	7.14E-05	7.039	27.847	23.345
-360.69139	7.18E-05	7.033	27.834	23.348
-360.69123	7.10E-05	7.032	27.825	23.363
-360.69148	7.15E-05	7.022	27.815	23.361
-360.69133	7.08E-05	7.015	27.812	23.340
-360.69114	7.07E-05	7.001	27.804	23.326
-360.69098	7.04E-05	6.993	27.784	23.315
-360.69169	7.07E-05	6.997	27.770	23.315
-360.69158	7.09E-05	7.006	27.753	23.313
-360.69209	7.03E-05	7.018	27.736	23.317
-360.69218	7.10E-05	7.010	27.717	23.310
-360.69227	7.03E-05	7.007	27.701	23.302
-360.69186	7.03E-05	6.987	27.692	23.288
-360.69248	7.03E-05	6.988	27.662	23.275
-360.69233	7.13E-05	7.001	27.651	23.275
-360.69267	7.07E-05	7.004	27.613	23.284
-360.69317	7.10E-05	7.017	27.594	23.291
-360.69282	7.14E-05	7.005	27.577	23.289
-360.69309	7.01E-05	6.982	27.572	23.272
-360.69275	7.07E-05	6.978	27.540	23.254
-360.69310	7.07E-05	6.980	27.512	23.248
-360.69348	7.14E-05	6.995	27.493	23.255
-360.69321	7.12E-05	7.004	27.476	23.261
-360.69384	7.13E-05	7.012	27.467	23.270
-360.69297	7.08E-05	6.993	27.445	23.256
-360.69283	7.06E-05	6.979	27.408	23.243
-360.69354	7.05E-05	6.978	27.393	23.228
-360.69343	7.02E-05	6.978	27.371	23.224
-360.69405	7.06E-05	6.981	27.344	23.224
-360.69435	7.06E-05	6.999	27.324	23.228
-360.69430	7.02E-05	7.006	27.293	23.237
-360.69413	7.05E-05	7.005	27.271	23.242
-360.69424	7.04E-05	7.006	27.250	23.250
-360.69483	7.10E-05	7.014	27.236	23.253
-360.69413	7.06E-05	7.009	27.205	23.257
-360.69432	7.08E-05	7.019	27.185	23.264
-360.69452	7.07E-05	7.016	27.157	23.272
-360.69468	7.10E-05	7.015	27.130	23.279
-360.69476	7.17E-05	7.021	27.104	23.278
-360.69468	7.09E-05	7.017	27.083	23.284
-360.69511	7.06E-05	7.017	27.065	23.290
-360.69474	7.09E-05	7.008	27.039	23.289
-360.69482	7.09E-05	7.018	27.016	23.294
-360.69478	7.06E-05	7.016	26.998	23.298
-360.69493	7.09E-05	7.020	26.975	23.300
-360.69443	7.06E-05	7.005	26.947	23.307
-360.69515	7.10E-05	7.014	26.928	23.312
-360.69486	7.12E-05	7.016	26.890	23.311
-360.69550	7.08E-05	7.020	26.869	23.313
-360.69539	7.11E-05	7.015	26.839	23.317
-360.69502	7.06E-05	7.017	26.811	23.322
-360.69511	7.02E-05	7.017	26.795	23.315
-360.69520	7.02E-05	7.015	26.769	23.335
-360.69477	7.06E-05	7.018	26.755	23.338
-360.69483	7.07E-05	7.016	26.733	23.343
-360.69515	7.05E-05	7.023	26.702	23.342
-360.69510	7.10E-05	7.004	26.681	23.324
-360.69500	7.01E-05	6.995	26.651	23.308
-360.69472	7.03E-05	6.982	26.624	23.302
-360.69466	7.03E-05	6.997	26.599	23.293
-360.69517	7.06E-05	7.006	26.577	23.291
-360.69511	7.04E-05	7.003	26.555	23.299
-360.69551	7.10E-05	7.001	26.518	23.300
-360.69564	7.02E-05	7.001	26.513	23.291
-360.69513	7.04E-05	6.983	26.489	23.274
-360.69499	7.04E-05	6.983	26.453	23.265
-360.69496	7.04E-05	6.981	26.440	23.266
-360.69528	7.06E-05	6.991	26.413	23.266
-360.69583	7.03E-05	7.000	26.379	23.270
-360.69608	7.06E-05	7.004	26.349	23.270
-360.69590	7.01E-05	6.993	26.321	23.258
-360.69589	6.97E-05	6.980	26.293	23.241
-360.69541	7.01E-05	6.976	26.273	23.232
-360.69560	7.05E-05	6.980	26.259	23.234
-360.69614	7.04E-05	6.989	26.226	23.237
-360.69639	7.07E-05	6.984	26.210	23.248
-360.69668	7.05E-05	6.994	26.176	23.255
-360.69629	7.01E-05	6.990	26.146	23.258
-360.69649	7.01E-05	6.988	26.115	23.247
-360.69651	7.01E-05	6.986	26.097	23.237
-360.69632	6.99E-05	6.978	26.071	23.235
-360.69662	7.02E-05	6.982	26.045	23.236
-360.69695	7.04E-05	6.996	26.016	23.238
-360.69694	7.06E-05	6.992	25.992	23.245
-360.69697	7.04E-05	6.991	25.973	23.246
-360.69692	7.04E-05	6.992	25.950	23.255
-360.69702	7.03E-05	6.993	25.922	23.265
-360.69711	7.03E-05	6.998	25.887	23.267
-360.69776	7.03E-05	7.004	25.866	23.274
-360.69736	7.05E-05	7.006	25.849	23.275
-360.69771	7.12E-05	7.007	25.818	23.286
-360.69798	7.08E-05	6.999	25.797	23.290
-360.69786	7.08E-05	7.003	25.778	23.298
-360.69817	7.10E-05	7.007	25.757	23.300
-360.69785	7.07E-05	6.996	25.731	23.302
-360.69765	7.05E-05	7.007	25.709	23.304
-360.69750	7.07E-05	6.993	25.688	23.311
-360.69731	7.06E-05	7.010	25.671	23.324
-360.69745	7.07E-05	7.009	25.644	23.317
-360.69750	7.06E-05	7.002	25.632	23.321
-360.69821	7.08E-05	7.003	25.609	23.330
-360.69797	7.05E-05	7.007	25.585	23.330
-360.69756	7.05E-05	7.012	25.565	23.331
-360.69812	7.10E-05	7.015	25.558	23.342
-360.69791	7.07E-05	7.010	25.529	23.345
-360.69763	7.06E-05	7.017	25.502	23.353
-360.69760	7.10E-05	7.018	25.489	23.358
-360.69776	7.08E-05	7.008	25.464	23.359
